,FWHMx_mm,FWHMy_mm,FWHMz_mm,volume_vox
3131,13.3211,13.8532,13.8542,283702
3135,14.4823,14.4339,14.6308,283791
3136,8.63683,9.13137,8.8166,283791
3137,14.472,14.3896,14.5722,283791
3141,10.3584,11.7015,10.8601,283713
3142,14.3564,15.3136,13.9793,283713
3143,10.3552,12.0786,11.1109,283713
3152,13.2898,14.3825,13.4202,283777
3153,12.5385,14.1117,12.2413,283777
3154,12.9618,15.0708,12.5896,283777
3155,11.7665,12.3669,11.7863,283777
3156,13.2269,13.3622,12.8126,283777
3157,12.4925,13.9665,12.7132,283777
3158,12.3932,11.8378,12.4888,283777
3159,11.4126,12.373,11.9306,283777
3160,13.1682,13.0863,12.7498,283777
3161,12.3019,13.4794,12.6635,283777
3162,12.6896,12.3924,12.8655,283777
3163,11.8682,13.0714,12.7292,283777
3164,12.9218,14.2432,13.8722,283777
3172,12.1438,12.4823,12.5542,283692
3173,14.5541,15.0502,14.2807,283692
3175,14.5759,15.1201,14.3729,283692
3179,12.2438,13.5598,12.1316,283723
3180,13.0519,14.037,12.8214,283723
3181,12.1363,13.4027,12.1128,283723
3185,13.3389,14.0313,13.7214,283786
3186,13.2152,13.796,13.222,283786
3187,14.1237,14.7311,14.334,283786
3188,14.1902,14.7447,14.3919,283786
3189,13.868,14.5307,14.0575,283786
3190,13.8551,14.1285,13.5256,283786
3191,14.0544,14.4436,14.2001,283786
3192,14.1349,14.4007,14.2563,283786
3193,14.1859,14.5226,14.2829,283786
3194,13.7955,14.4455,14.0887,283786
3195,14.1431,14.69,14.2897,283786
3200,11.6374,12.9705,12.0416,283786
3201,13.6651,14.2395,13.9331,283786
3202,12.6556,13.8793,12.938,283786
3203,13.7419,14.1894,13.85,283786
3204,11.5723,12.6469,12.1895,283786
3205,14.1997,14.6715,14.2978,283786
3206,11.5851,12.4684,11.8261,283786
3207,14.0694,14.7204,14.3369,283786
8499,12.6298,12.6373,11.0305,157647
8500,19.5945,20.7443,17.7696,157647
8501,17.1723,17.5925,14.9299,166679
